Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count,Owned Copies
The Secret History,Donna Tartt,0,4.16,Vintage,Paperback,559.0,1992.0,,2015/04/07,to-read,to-read,,0,0
"Big Data: A Revolution That Will Transform How We Live, Work, and Think",Viktor Mayer-Schönberger,5,3.69,Houghton Mifflin Harcourt,Hardcover,242.0,2013.0,2015/04/07,2015/03/28,,read,,1,0
Borderline,Liza Marklund,0,3.53,Transworld Digital,Kindle Edition,0.0,2014.0,,2015/04/07,to-read,to-read,,0,0
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,0,4.32,Signet,Mass Market Paperback,320.0,2003.0,,2015/04/07,to-read,to-read,,0,0
"Aunt Dimity and the Family Tree (Aunt Dimity Mystery, #16)",Nancy Atherton,0,4.03,Viking,Hardcover,229.0,2011.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity Down Under (Aunt Dimity Mystery, #15)",Nancy Atherton,0,4.01,Viking,Hardcover,215.0,2010.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity, Vampire Hunter (Aunt Dimity Mystery, #13)",Nancy Atherton,0,3.93,Viking Adult,Hardcover,240.0,2008.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity Goes West (An Aunt Dimity Mystery, #12)",Nancy Atherton,0,3.93,Penguin Books,Mass Market Paperback,293.0,2008.0,,2015/04/06,kobo,read,,1,0
Aunt Dimity and the Deep Blue Sea (Aunt Dimity Series #11),Nancy Atherton,0,4.05,Penguin Group (USA),Hardcover,256.0,2006.0,,2015/04/06,kobo,read,,1,0
Aunt Dimity and the Next of Kin (Aunt Dimity Series #10),Nancy Atherton,0,4.1,Thorndike Press,Hardcover,352.0,2005.0,,2015/04/06,kobo,read,,1,0
Aunt Dimity: Snowbound,Nancy Atherton,0,4.0,Thorndike Press,Hardcover,313.0,2004.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity Takes a Holiday (Aunt Dimity Mystery, #8)",Nancy Atherton,0,4.02,Penguin Books,Mass Market Paperback,213.0,2004.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity: Detective (Aunt Dimity Mystery, #7)",Nancy Atherton,0,3.97,Penguin Books,Mass Market Paperback,230.0,2003.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity's Christmas (Aunt Dimity Mystery, #5)",Nancy Atherton,0,4.04,Penguin Books,Mass Market Paperback,214.0,2000.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity Digs In (Aunt Dimity Mystery, #4)",Nancy Atherton,0,3.96,Penguin Books,Mass Market Paperback,275.0,1999.0,,2015/04/06,kobo,read,,1,0
Aunt Dimity's Good Deed,Nancy Atherton,0,3.94,Viking Books,Hardcover,276.0,1996.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity and the Duke (Aunt Dimity Mystery, #2)",Nancy Atherton,0,3.96,Penguin,Paperback,290.0,1995.0,,2015/04/06,kobo,read,,1,0
"Aunt Dimity's Death (Aunt Dimity Mystery, #1)",Nancy Atherton,0,3.96,Penguin,Mass Market Paperback,244.0,1993.0,,2015/04/06,kobo,read,,1,0
The Valley of Amazement,Amy Tan,0,3.69,Ecco,Hardcover,589.0,2013.0,,2015/04/06,kobo,read,,1,0
The Rosie Project,Graeme Simsion,0,4.01,Penguin Books Limited,ebook,384.0,2013.0,,2015/04/06,kobo,read,,1,0
Gone Girl,Gillian Flynn,0,4.14,Orion,ebook,444.0,2012.0,,2015/04/06,kobo,read,,1,0
"A Song for the Dying (Ash Henderson, #2)",Stuart MacBride,0,4.04,HarperCollins,Hardcover,528.0,2014.0,,2015/04/06,kobo,read,,1,0
"Thankless in Death (In Death, #37)",J.D. Robb,0,4.35,Putnam Adult ,Hardcover,557.0,2013.0,,2015/04/06,kobo,read,,1,0
"Personal (Jack Reacher, #19)",Lee Child,0,3.99,Transworld Digital,Kindle Edition,312.0,2014.0,,2015/04/06,kobo,read,,1,0
"The Ice Princess (Fjällbacka, #1)",Camilla Läckberg,0,3.76,Pegasus,Hardcover,393.0,2010.0,,2015/04/06,kobo,read,,1,0
"Stenhuggaren (Patrik Hedström, #3)",Camilla Läckberg,0,3.93,Forum bokförlag,Hardcover,404.0,2005.0,,2015/04/06,kobo,read,,1,0
The Ghosts of Belfast (Jack Lennon Investigations #1),Stuart Neville,0,3.92,Soho Crime,Paperback,336.0,2010.0,,2015/04/06,kobo,read,,1,0
Stolen Souls (Jack Lennon Investigations #3),Stuart Neville,0,3.89,Soho Crime,Hardcover,354.0,2011.0,,2015/04/06,kobo,read,,1,0
Collusion,Stuart Neville,0,3.95,Vintage Digital,Kindle Edition,512.0,2010.0,,2015/04/06,kobo,read,,1,0
"Lifetime (Annika Bengtzon, #7)",Liza Marklund,0,3.68,Atria/Emily Bestler Books,Hardcover,384.0,2013.0,,2015/04/06,kobo,read,,1,0
Dominion,C.J. Sansom,0,3.86,Mantle,ebook,450.0,2012.0,,2015/04/06,kobo,read,,1,0
Sexy Little Numbers: How to Grow Your Business Using the Data You Already Have,Dimitri Maex,0,3.8,Crown Business,Kindle Edition,304.0,2012.0,,2015/04/06,kobo,read,,1,0
The Romanov Conspiracy,Glenn Meade,5,3.94,Howard Books,Hardcover,515.0,2012.0,2013/07/14,2012/12/12,kobo,read,,1,0
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,0,4.17,Vintage,Mass Market Paperback,644.0,2008.0,,2015/04/06,kobo,read,,1,0
The Girl Who Played With Fire (Millennium #2),Stieg Larsson,4,4.26,Alfred A. Knopf,Hardcover,503.0,2009.0,,2011/02/14,kobo,read,,1,0
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4,4.24,Knopf,Hardcover,566.0,2010.0,,2011/03/13,kobo,read,,1,0
"Unlucky 13 (Women's Murder Club, #13)",James  Patterson,0,4.08,"Little, Brown and Company",Hardcover,384.0,2014.0,,2015/04/06,kobo,read,,1,0
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,0,4.28,Random House,Hardcover,416.0,2002.0,,2015/04/06,kobo,read,,1,0
"Threat Vector (Jack Ryan Jr, #4; Jack Ryan Universe, #15)",Tom Clancy,0,4.2,Putnam Adult,Hardcover,835.0,2012.0,,2015/04/06,kobo,read,,1,0
"The Missing and the Dead (Logan McRae, #9)",Stuart MacBride,0,4.19,HarperCollins,Hardcover,592.0,2015.0,,2015/03/17,"to-read, kobo",to-read,,0,0
"Heat Wave (Nikki Heat, #1)",Richard Castle,0,3.57,Hyperion,Kindle Edition,198.0,2009.0,,2011/03/30,"to-read, kobo",to-read,,0,0
"Naked Heat (Nikki Heat, #2)",Richard Castle,0,3.79,Hyperion,Hardcover,290.0,2010.0,,2015/04/06,kobo,read,,1,0
Partners in Crime (Logan McRae #6.5-#7.5),Stuart MacBride,0,4.01,HarperCollins,Kindle Edition,50.0,2012.0,,2015/04/06,kobo,read,,1,0
"Heat Rises (Nikki Heat, #3)",Richard Castle,0,3.94,Hyperion,Kindle Edition,269.0,2011.0,,2015/04/06,kobo,read,,1,0
"Nemesis (Harry Hole, #4)",Jo Nesbø,0,3.98,Vintage Canada,Kindle Edition,256.0,2010.0,,2015/04/06,kobo,read,,1,0
"The Devil's Star (Harry Hole, #5)",Jo Nesbø,0,4.06,Harper,Kindle Edition,464.0,2012.0,,2015/04/06,kobo,read,,1,0
The Redbreast (Harry Hole #3),Jo Nesbø,0,3.94,Harper,Mass Market Paperback,563.0,2011.0,,2015/04/06,kobo,read,,1,0
"The Preacher (Patrik Hedström, #2)",Camilla Läckberg,0,3.83,Pegasus Crime,Hardcover,419.0,2011.0,,2015/04/06,kobo,read,,1,0
Carved in Bone (Body Farm #1),Jefferson Bass,0,3.93,William Morrow,Hardcover,352.0,2006.0,,2015/04/06,kobo,read,,1,0
The Ice Limit - La barrière de glace (Ice Limit #1),Lincoln Child,0,4.0,,Paperback,491.0,2001.0,,2015/04/06,kobo,read,,1,0
Flesh and Bone (Body Farm #2),Jefferson Bass,0,4.06,William Morrow,Hardcover,361.0,2007.0,,2015/04/06,kobo,read,,1,0
Bones of Betrayal (Body Farm #4),Jefferson Bass,0,4.1,William Morrow,Hardcover,356.0,2009.0,,2015/04/06,kobo,read,,1,0
The Devil's Bones,Jefferson Bass,0,4.13,Harper,Mass Market Paperback,306.0,2009.0,,2015/04/06,kobo,read,,1,0
The Bone Yard (Body Farm),Jefferson Bass,0,4.15,HarperCollins,Paperback,352.0,2012.0,,2015/04/06,kobo,read,,1,0
"The Bone Thief (Body Farm, #5)",Jefferson Bass,0,4.05,William Morrow,Hardcover,356.0,2010.0,,2015/04/06,kobo,read,,1,0
The Inquisitor's Key (Body Farm #7),Jefferson Bass,0,3.78,William Morrow,Hardcover,353.0,2012.0,,2015/04/06,kobo,read,,1,0
Scarred,Thomas Enger,0,4.06,Faber & Faber,Paperback,452.0,2014.0,,2015/04/05,to-read,to-read,,0,0
"Funeral in Blue (William Monk, #12)",Anne Perry,0,3.97,Brilliance Audio,Audiobook,11.0,2001.0,,2015/04/05,kobo,read,,1,0
"Acceptable Loss (William Monk, #17)",Anne Perry,0,4.06,Headline,Hardcover,352.0,2011.0,,2015/04/05,kobo,read,,1,0
"Execution Dock (William Monk, #16)",Anne Perry,0,4.06,Ballantine Books,Hardcover,320.0,2009.0,,2015/04/05,kobo,read,,1,0
"Dark Assassin (William Monk, #15)",Anne Perry,0,4.01,Ballantine Books,Mass Market Paperback,340.0,2007.0,,2015/04/05,kobo,read,,1,0
"The Shifting Tide (William Monk, #14)",Anne Perry,0,4.13,Ballantine Books,Mass Market Paperback,368.0,2005.0,,2015/04/05,kobo,read,,1,0
"Death of a Stranger (William Monk, #13)",Anne Perry,0,4.07,Ballantine,Mass Market Paperback,334.0,2003.0,,2015/04/05,kobo,read,,1,0
"Slaves of Obsession (William Monk, #11)",Anne Perry,0,3.96,Fawcett,Mass Market Paperback,368.0,2001.0,,2015/04/05,kobo,read,,1,0
"A Breach of Promise (William Monk, #9)",Anne Perry,0,4.1,Ivy Books,Mass Market Paperback,384.0,1999.0,,2015/04/05,kobo,read,,1,0
"The Twisted Root (William Monk, #10)",Anne Perry,0,4.01,Ballantine Books,Mass Market Paperback,355.0,2000.0,,2015/04/05,kobo,read,,1,0
"The Silent Cry (William Monk, #8)",Anne Perry,0,4.06,Ivy Books,Mass Market Paperback,368.0,1998.0,,2015/04/05,kobo,read,,1,0
"Weighed in the Balance (William Monk, #7)",Anne Perry,0,3.94,Ivy Books,Mass Market Paperback,384.0,1997.0,,2015/04/05,kobo,read,,1,0
"Cain His Brother (William Monk, #6)",Anne Perry,0,4.01,Ivy Books,Mass Market Paperback,416.0,1996.0,,2015/04/05,kobo,read,,1,0
"The Sins of the Wolf (William Monk, #5)",Anne Perry,0,4.1,Ballantine Books,Mass Market Paperback,448.0,1995.0,,2015/04/05,kobo,read,,1,0
"A Sudden, Fearful Death (William Monk, #4)",Anne Perry,0,3.98,Ballantine,Mass Market Paperback,464.0,1994.0,,2015/04/05,kobo,read,,1,0
"Defend and Betray (William Monk, #3)",Anne Perry,0,4.05,Ivy Books,Mass Market Paperback,439.0,1993.0,,2015/04/05,kobo,read,,1,0
"A Dangerous Mourning (William Monk, #2)",Anne Perry,0,4.04,Headline Book Publishing,Hardcover,320.0,1994.0,,2015/04/05,kobo,read,,1,0
"The Face of a Stranger (William Monk, #1)",Anne Perry,0,4.03,Headline Book Publishing,Hardcover,320.0,1994.0,,2015/04/05,kobo,read,,1,0
Flowers for Algernon,Daniel Keyes,0,4.23,Harvest Books,Paperback,311.0,2004.0,,2013/12/05,"to-read, kobo",to-read,,0,0
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,0,4.52,DAW,Paperback,722.0,2009.0,,2015/04/05,kobo,read,,1,0
"Trainspotting (Mark Renton, #2)",Irvine Welsh,0,4.11,W. W. Norton & Company,Hardcover,340.0,2002.0,,2015/04/05,kobo,read,,1,0
I Am Legend,Richard Matheson,0,4.0,Tor Books,Mass Market Paperback,312.0,2007.0,,2015/04/05,kobo,read,,1,0
The Beach House,James  Patterson,0,3.87,"Little, Brown and Company",Paperback,356.0,2003.0,,2015/04/05,kobo,read,,1,0
Interpreter of Maladies,Jhumpa Lahiri,0,4.18,Houghton Mifflin Harcourt,Kindle Edition,259.0,1999.0,,2015/04/05,kobo,read,,1,0
Battle Hymn of the Tiger Mother,Amy  Chua,0,3.66,Penguin Press,Hardcover,237.0,2011.0,,2015/04/05,kobo,read,,1,0
The Joy Luck Club,Amy Tan,0,3.97,Vintage Books,Paperback,288.0,1998.0,,2015/04/05,kobo,read,,1,0
The Outsiders,S.E. Hinton,0,4.14,Puffin Books (US/CAN),Mass Market Paperback,208.0,1997.0,,2011/02/19,"to-read, kobo",to-read,,0,0
Last Man Standing,David Baldacci,0,4.06,Grand Central Publishing,Hardcover,548.0,2001.0,,2015/04/05,kobo,read,,1,0
Water for Elephants,Sara Gruen,0,4.11,Algonquin Books,Paperback,368.0,2007.0,,2011/03/06,"to-read, kobo",to-read,,0,0
Total Control,David Baldacci,0,4.14,Vision,Mass Market Paperback,720.0,1997.0,,2015/04/05,kobo,read,,1,0
The Winner,David Baldacci,0,4.14,Grand Central Publishing,Kindle Edition,528.0,2002.0,,2015/04/05,kobo,read,,1,0
Last Man Standing,David Baldacci,0,4.06,Warners Visions Books,Mass Market Paperback,640.0,2002.0,,2015/04/05,to-read,to-read,,0,0
Land of the Living,Nicci French,0,3.77,Penguin,Paperback,370.0,2003.0,,2015/04/05,to-read,to-read,,0,0
Black Seconds (Inspector Sejer Mysteries Book 5),Karin Fossum,0,3.83,HarperVia,Kindle Edition,272.0,2009.0,,2015/04/05,kobo,read,,1,0
Calling Out For You,Karin Fossum,0,3.79,Vintage Digital,Kindle Edition,400.0,2008.0,,2015/04/05,kobo,read,,1,0
"Bad Intentions (Konrad Sejer, #9)",Karin Fossum,0,3.6,Harvill Secker,Paperback,184.0,2010.0,,2015/04/05,kobo,read,,1,0
Don't Look Back (Konrad Sejer #2),Karin Fossum,0,3.78,HarperVia,Paperback,320.0,2005.0,,2012/08/01,"to-read, kobo",to-read,,0,0
"When the Devil Holds the Candle (Konrad Sejer, #4)",Karin Fossum,0,3.72,Mariner Books,Paperback,288.0,2007.0,,2015/04/05,kobo,read,,1,0
He Who Fears The Wolf,Karin Fossum,0,3.75,Vintage Digital,Kindle Edition,400.0,2008.0,,2015/04/05,kobo,read,,1,0
"The Water's Edge  (Konrad Sejer, #8)",Karin Fossum,0,3.75,Vintage Digital,Kindle Edition,240.0,2009.0,,2015/04/05,kobo,read,,1,0
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,2,3.76,Doubleday,Hardcover,509.0,2009.0,2015/04/05,2015/03/20,,read,,1,0
"Voyager (Outlander, #3)",Diana Gabaldon,0,4.39,Dell,Mass Market Paperback,1059.0,1994.0,,2015/04/04,kobo,read,,1,0
"The Fiery Cross (Outlander, #5)",Diana Gabaldon,0,4.26,Dell,Paperback,979.0,2002.0,,2015/04/04,kobo,read,,1,0
"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,0,4.44,Delacorte Press,Hardcover,820.0,2009.0,,2015/04/04,kobo,read,,1,0
"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,0,4.44,Delacorte Press,Hardcover,980.0,2005.0,,2015/04/04,kobo,read,,1,0
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,0,4.35,Dell,Mass Market Paperback,1070.0,1997.0,,2015/04/04,kobo,read,,1,0
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,0,4.34,Bantam,Paperback,947.0,2001.0,,2015/04/04,kobo,read,,1,0
"Angel Dance (Danny Logan Mystery, #1)",M.D. Grayson,0,4.1,Cedar Coast Press,Kindle Edition,346.0,2012.0,,2015/04/04,kobo,read,,2,0
"Ice Run (Alex McKnight, #6)",Steve Hamilton,0,3.99,Minotaur Books,Paperback,352.0,2005.0,,2015/04/04,kobo,read,,1,0
"North of Nowhere (Alex McKnight, #4)",Steve Hamilton,0,4.03,Minotaur Books,Hardcover,288.0,2002.0,,2015/04/04,kobo,read,,1,0
"Blood is the Sky (Alex McKnight, #5)",Steve Hamilton,0,4.14,St. Martin's Paperbacks,Mass Market Paperback,352.0,2004.0,,2015/04/04,kobo,read,,1,0
"A Stolen Season (Alex McKnight, #7)",Steve Hamilton,0,3.99,Minotaur Books,Hardcover,304.0,2006.0,,2015/04/04,kobo,read,,1,0
"Misery Bay (Alex McKnight, #8)",Steve Hamilton,0,4.17,Minotaur Books,Hardcover,294.0,2011.0,,2015/04/04,kobo,read,,1,0
"The Hunting Wind (Alex McKnight, #3)",Steve Hamilton,0,3.9,St. Martin's Paperbacks,Mass Market Paperback,352.0,2002.0,,2015/04/04,kobo,read,,1,0
"Winter Of The Wolf Moon (Alex McKnight, #2)",Steve Hamilton,0,3.93,Minotaur Books,Mass Market Paperback,320.0,2001.0,,2015/04/04,kobo,read,,1,0
"A Cold Day in Paradise (Alex McKnight, #1)",Steve Hamilton,0,3.77,Minotaur Books,Mass Market Paperback,320.0,2000.0,,2015/04/04,kobo,read,,1,0
"Dead Water (Shetland Island, #5)",Ann Cleeves,0,4.12,Macmillan,Hardcover,386.0,2013.0,,2015/04/04,kobo,read,,1,0
"White Nights (Shetland Island, #2)",Ann Cleeves,0,4.02,Minotaur Books,Hardcover,392.0,2008.0,,2015/04/04,kobo,read,,1,0
"Red Bones (Shetland Island, #3)",Ann Cleeves,0,4.01,Macmillan,Hardcover,340.0,2009.0,,2015/04/04,kobo,read,,1,0
"Thin Air (Shetland Island, #6)",Ann Cleeves,0,4.06,Macmillan,Kindle Edition,330.0,2014.0,,2015/04/04,kobo,read,,1,0
"Raven Black (Shetland Island, #1)",Ann Cleeves,0,3.96,Minotaur Books,Hardcover,384.0,2007.0,,2015/04/04,kobo,read,,1,0
"Blue Molly (Danny Logan Mystery, #5)",M.D. Grayson,0,4.19,Cedar Coast Press,Kindle Edition,266.0,2014.0,,2015/04/04,kobo,read,,1,0
"Isabel's Run (Danny Logan Mystery, #3)",M.D. Grayson,0,4.15,CedarCoast Press,Kindle Edition,324.0,2012.0,,2015/04/04,kobo,read,,1,0
"Mona Lisa Eyes (Danny Logan Mystery, #4)",M.D. Grayson,0,4.07,Cedar Coast Press,Kindle Edition,330.0,2013.0,,2015/04/04,kobo,read,,1,0
Defending Jacob,William Landay,0,4.0,Delacorte Press,Hardcover,421.0,2012.0,,2015/04/04,to-read,to-read,,0,0
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,0,4.34,Scholastic Inc.,Paperback,374.0,2012.0,,2015/04/04,kobo,read,,1,0
"Catching Fire (Hunger Games, #2)",Suzanne Collins,0,4.34,Scholastic Press,Library Binding,391.0,2009.0,,2015/04/04,kobo,read,,1,0
"New Orleans Mourning (Skip Langdon, #1)",Julie Smith,0,3.7,Fawcett,Paperback,352.0,1990.0,,2015/04/03,"to-read, kobo",to-read,,0,0
"New Orleans Beat (Skip Langdon, #4)",Julie Smith,0,3.81,Fawcett,Mass Market Paperback,368.0,1995.0,,2015/04/03,"to-read, kobo",to-read,,0,0
"The Axeman's Jazz (Skip Langdon, #2)",Julie Smith,0,3.7,Ivy Books/Ballantine Books,Mass Market Paperback,353.0,1992.0,,2015/04/03,"to-read, kobo",to-read,,0,0
"House of Blues (Skip Langdon, #5)",Julie Smith,0,3.88,Fawcett,Mass Market Paperback,340.0,1996.0,,2015/04/03,"to-read, kobo",to-read,,0,0
"The Kindness of Strangers (Skip Langdon, #6)",Julie Smith,0,3.92,Ivy Books/Ballantine Books,Mass Market Paperback,358.0,1997.0,,2015/04/03,"to-read, kobo",to-read,,0,0
"82 Desire (Skip Langdon, #8)",Julie Smith,0,4.03,Ivy Books/Ballantine Books,Mass Market Paperback,352.0,1999.0,,2015/04/03,"to-read, kobo",to-read,,0,0
"Jazz Funeral (Skip Langdon, #3)",Julie Smith,0,3.85,Ivy Books,Mass Market Paperback,368.0,1994.0,,2015/04/03,"to-read, kobo",to-read,,0,0
The Ice Cage,Olivier Nilsson-Julien,0,3.35,Amazon Digital Services,Kindle Edition,239.0,2012.0,,2015/04/04,"to-read, kobo",to-read,,0,0
Coma,Robin Cook,0,3.88,Signet Books,Mass Market Paperback,320.0,1977.0,,2015/04/04,to-read,to-read,,0,0
"The Godfather (The Godfather, #1)",Mario Puzo,5,4.4,NAL,Paperback,448.0,2002.0,,2015/04/04,,read,,1,0
Rebecca,Daphne du Maurier,0,4.25,Virago Modern Classics,Paperback,428.0,2003.0,,2015/04/04,to-read,to-read,,0,0
"The Marco Effect (Department Q, #5)",Jussi Adler-Olsen,0,3.88,Dutton,Kindle Edition,484.0,2014.0,,2015/02/21,to-read,to-read,,0,0
"Lord of the Clans (WarCraft, #2)",Christie Golden,0,4.15,Pocket Books,Mass Market Paperback,278.0,2001.0,,2015/04/03,to-read,to-read,,0,0
"To Love and Be Wise (Inspector Alan Grant, #4)",Josephine Tey,0,4.03,Scribner,Paperback,224.0,1998.0,,2015/04/03,to-read,to-read,,0,0
"The Singing Sands (Inspector Alan Grant, #6)",Josephine Tey,0,4.01,Scribner Paperback Fiction,Paperback,224.0,1996.0,,2015/04/03,to-read,to-read,,0,0
"A Shilling for Candles (Inspector Alan Grant, #2)",Josephine Tey,0,3.92,Touchstone,Paperback,240.0,1998.0,,2015/04/03,to-read,to-read,,0,0
"The Man in the Queue (Inspector Alan Grant, #1)",Josephine Tey,0,3.76,Touchstone,Paperback,255.0,1995.0,,2015/04/03,to-read,to-read,,0,0
"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,0,3.9,Scribner,Paperback,206.0,1995.0,,2015/04/03,to-read,to-read,,0,0
"44 Cranberry Point (Cedar Cove, #4)",Debbie Macomber,0,4.13,Mira Books,Mass Market Paperback,384.0,2005.0,,2015/04/03,kobo,read,,1,0
"Sahara (Dirk Pitt, #11)",Clive Cussler,0,3.99,Simon & Schuster,Hardcover,544.0,1992.0,,2015/04/03,kobo,read,,1,0
"The Butcher of Smithfield (Thomas Chaloner, #3)",Susanna Gregory,0,3.99,"Little, Brown Book Group",Hardcover,512.0,2008.0,,2015/04/03,kobo,read,,1,0
"Hour Game (Sean King & Michelle Maxwell, #2)",David Baldacci,0,4.04,Warner Vision Books,Mass Market Paperback,611.0,2005.0,,2015/04/03,kobo,read,,1,0
How to Write Science Fiction and Fantasy,Orson Scott Card,0,3.91,F & W Publications Inc.,Hardcover,140.0,1990.0,,2015/04/03,kobo,read,,1,0
The 38 Most Common Fiction Writing Mistakes,Jack M. Bickham,0,3.78,Writer's Digest Books,Paperback,117.0,1997.0,,2015/04/03,kobo,read,,1,0
"Murder in Belleville (Aimee Leduc Investigations, #2)",Cara Black,0,3.49,Soho Press,Hardcover,341.0,2000.0,,2015/04/03,kobo,read,,1,0
Immediate Fiction: A Complete Writing Course,Jerry Cleaver,0,4.14,St. Martin's Griffin,Paperback,304.0,2004.0,,2015/04/03,kobo,read,,1,0
Two for the Lions,Lindsey Davis,0,4.05,Twtp Assorted,Hardcover,0.0,2000.0,,2015/04/03,kobo,read,,1,0
Elmore Leonard's 10 Rules of Writing,Elmore Leonard,0,3.84,William Morrow,Hardcover,96.0,2007.0,,2015/04/03,kobo,read,,1,0
"Blood on the Strand (Thomas Chaloner, #2)",Susanna Gregory,0,3.93,Sphere,Hardcover,480.0,2007.0,,2015/04/03,kobo,read,,1,0
"Survivor In Death (In Death, #20)",J.D. Robb,0,4.42,Putnam Adult,Hardcover,376.0,2005.0,,2015/04/03,kobo,read,,1,0
A Body in the Bathhouse,Lindsey Davis,0,4.05,Mysterious Press,Kindle Edition,0.0,2009.0,,2015/04/03,kobo,read,,1,0
Scandal Takes a Holiday,Lindsey Davis,0,4.02,Grand Central Publishing,Kindle Edition,0.0,2007.0,,2015/04/03,kobo,read,,1,0
The Testament: A Novel,John Grisham,0,3.91,Vintage,Paperback,465.0,2005.0,,2015/04/03,kobo,read,,1,0
Silent Treatment,Michael           Palmer,0,3.99,Bantam,Kindle Edition,480.0,2011.0,,2015/04/03,kobo,read,,1,0
"Double Cross (Alex Cross, #13)",James  Patterson,0,4.04,"Little, Brown and Company",Kindle Edition,389.0,2007.0,,2015/04/03,kobo,read,,1,0
"Prodigal Son (Dean Koontz's Frankenstein, Book 1)",Dean Koontz,0,4.03,Bantam,Mass Market Paperback,469.0,2005.0,,2015/04/03,kobo,read,,1,0
"The Cheapside Corpse (Thomas Chaloner, #10)",Susanna Gregory,0,4.16,"Little, Brown Book Group",Hardcover,448.0,2015.0,,2015/04/03,kobo,read,,1,0
"The Truth (Discworld, #25)",Terry Pratchett,0,4.41,HarperTorch,Mass Market Paperback,348.0,2001.0,,2015/04/03,kobo,read,,1,0
"Feet of Clay (Discworld, #19; City Watch, #3)",Terry Pratchett,0,4.33,Corgi,Paperback,411.0,2005.0,,2015/04/03,kobo,read,,1,0
"Deliver Us From Evil (A. Shaw, #2)",David Baldacci,0,4.07,Grand Central Publishing,Kindle Edition,,2010.0,,2015/04/03,kobo,read,,1,0
"Hell's Corner (Camel Club, #5)",David Baldacci,0,4.19,Grand Central Publishing,Hardcover,720.0,2010.0,,2015/04/03,kobo,read,,1,0
"Tribune of Rome (Vespasian, #1)",Robert Fabbri,0,4.11,,Paperback,496.0,2014.0,,2015/04/03,kobo,read,,1,0
The Piccadilly Plot,Susanna Gregory,0,4.11,Sphere,ebook,485.0,2012.0,,2015/04/03,kobo,read,,1,0
The Racing Factions (Crossroads Brotherhood #1),Robert Fabbri,0,4.15,Corvus,Kindle Edition,63.0,2013.0,,2015/04/03,kobo,read,,1,0
"Eric (Discworld, #9; Rincewind, #4)",Terry Pratchett,0,3.79,Harper,Mass Market Paperback,197.0,2008.0,,2015/04/03,kobo,read,,1,0
"Sourcery (Discworld, #5)",Terry Pratchett,0,3.91,Corgi Books,Paperback,270.0,1989.0,,2015/04/03,kobo,read,,1,0
"Murder in the Marais (Aimee Leduc Investigations, #1)",Cara Black,0,3.4,Soho Crime,Paperback,384.0,2011.0,,2015/04/03,kobo,read,,1,0
"Pyramids (Discworld, #7)",Terry Pratchett,0,3.93,ROC (Penguin),Mass Market Paperback,304.0,1989.0,,2015/04/03,kobo,read,,1,0
"Maskerade (Discworld, #18)",Terry Pratchett,0,4.13,HarperTorch,Mass Market Paperback,358.0,2004.0,,2015/04/03,kobo,read,,1,0
"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,0,4.34,HarperTorch,Mass Market Paperback,376.0,2001.0,,2015/04/03,kobo,read,,1,0
"Lords and Ladies (Discworld, #14)",Terry Pratchett,0,4.21,HarperPrism,Mass Market Paperback,374.0,1996.0,,2015/04/03,kobo,read,,1,0
"Small Gods (Discworld, #13)",Terry Pratchett,0,4.32,Corgi,Paperback,389.0,2005.0,,2015/04/03,kobo,read,,1,0
Absolute Power (Oeb),David Baldacci,0,4.2,Twtp Assorted,Hardcover,0.0,2001.0,,2015/04/03,kobo,read,,1,0
"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",Terry Pratchett,0,4.29,HarperTrophy,Mass Market Paperback,375.0,2004.0,,2015/04/03,kobo,read,,1,0
"Wintersmith (Discworld, #35)",Terry Pratchett,0,4.25,Corgi,Mass Market Paperback,384.0,2010.0,,2015/04/03,kobo,read,,1,0
"Equal Rites (Discworld, #3)",Terry Pratchett,0,4.07,HarperTorch,Mass Market Paperback,213.0,2000.0,,2015/04/03,kobo,read,,1,0
"Deep Six (Dirk Pitt, #7)",Clive Cussler,0,3.91,Pocket Books,Mass Market Paperback,535.0,2006.0,,2015/04/03,kobo,read,,1,0
